                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.76637,                0.52247,                 1.0447,                0.88355,                      1,                  0.995,                0.82682,                0.71583,                0.54567,                 1.0396,              5.842e-05,              5.842e-05,              5.842e-05
                     66,                0.75653,                0.49675,                 1.0306,                0.88294,                      1,                  0.995,                0.82682,                 0.7157,                0.52564,                 1.0379,              5.776e-05,              5.776e-05,              5.776e-05
                     67,                0.78624,                0.54345,                 1.0687,                0.88141,                      1,                  0.995,                0.82682,                0.70893,                0.52705,                 1.0358,               5.71e-05,               5.71e-05,               5.71e-05
                     68,                0.75739,                0.52331,                 1.0249,                0.87833,                      1,                  0.995,                0.80352,                 0.7116,                0.50916,                 1.0351,              5.644e-05,              5.644e-05,              5.644e-05
                     69,                0.78579,                0.51362,                 1.0584,                0.87782,                      1,                  0.995,                0.80515,                 0.7071,                0.50961,                 1.0326,              5.578e-05,              5.578e-05,              5.578e-05
                     70,                0.76727,                0.48467,                 1.0326,                0.87807,                      1,                  0.995,                0.80429,                0.70545,                0.50375,                 1.0315,              5.512e-05,              5.512e-05,              5.512e-05
                     71,                0.72532,                0.48537,                 1.0062,                0.88038,                      1,                  0.995,                0.82844,                0.70251,                0.50072,                 1.0299,              5.446e-05,              5.446e-05,              5.446e-05
                     72,                0.73463,                0.47938,                 1.0301,                0.87906,                      1,                  0.995,                0.84499,                0.69844,                0.49811,                  1.027,               5.38e-05,               5.38e-05,               5.38e-05
                     73,                0.73541,                0.47632,                 1.0356,                0.87898,                      1,                  0.995,                0.84499,                0.69483,                0.48358,                 1.0265,              5.314e-05,              5.314e-05,              5.314e-05
                     74,                0.75638,                0.49317,                 1.0388,                0.88216,                      1,                  0.995,                0.84111,                0.69322,                0.47925,                 1.0249,              5.248e-05,              5.248e-05,              5.248e-05
                     75,                 0.7525,                0.48923,                  1.038,                0.88076,                      1,                  0.995,                0.84715,                 0.6884,                 0.4744,                 1.0234,              5.182e-05,              5.182e-05,              5.182e-05
                     76,                0.73441,                0.46339,                 1.0199,                0.88346,                      1,                  0.995,                0.83168,                0.68711,                0.47267,                  1.022,              5.116e-05,              5.116e-05,              5.116e-05
                     77,                0.76806,                0.48041,                 1.0459,                0.88655,                      1,                  0.995,                0.83168,                0.68894,                0.46949,                 1.0207,               5.05e-05,               5.05e-05,               5.05e-05
                     78,                0.68385,                0.44561,                0.98753,                 0.8887,                      1,                  0.995,                 0.8004,                0.68817,                0.46677,                 1.0211,              4.984e-05,              4.984e-05,              4.984e-05
                     79,                0.75151,                0.45737,                 1.0236,                0.89071,                      1,                  0.995,                0.82069,                0.68561,                0.45864,                 1.0201,              4.918e-05,              4.918e-05,              4.918e-05
                     80,                0.69757,                0.43637,                0.97347,                0.89887,                      1,                  0.995,                0.80956,                0.67928,                0.44871,                 1.0188,              4.852e-05,              4.852e-05,              4.852e-05
                     81,                0.72585,                0.45959,                 1.0204,                 0.9077,                      1,                  0.995,                0.80956,                0.67717,                0.44957,                 1.0182,              4.786e-05,              4.786e-05,              4.786e-05
                     82,                0.72916,                0.44584,                 1.0103,                0.89898,                      1,                  0.995,                0.82003,                0.67697,                 0.4471,                 1.0175,               4.72e-05,               4.72e-05,               4.72e-05
                     83,                0.77118,                0.47056,                 1.0446,                0.90152,                      1,                  0.995,                0.83752,                0.67557,                0.45012,                 1.0165,              4.654e-05,              4.654e-05,              4.654e-05
                     84,                0.72025,                0.45065,                 1.0236,                0.90408,                      1,                  0.995,                0.81049,                0.67273,                0.43519,                 1.0144,              4.588e-05,              4.588e-05,              4.588e-05
                     85,                0.72466,                0.45334,                 1.0095,                0.90193,                      1,                  0.995,                0.83772,                  0.672,                0.43778,                 1.0143,              4.522e-05,              4.522e-05,              4.522e-05
                     86,                0.72953,                0.44564,                 1.0204,                 0.9017,                      1,                  0.995,                0.84331,                0.67357,                0.43815,                 1.0138,              4.456e-05,              4.456e-05,              4.456e-05
                     87,                0.68533,                0.42338,                0.97823,                0.90205,                      1,                  0.995,                0.83306,                0.67155,                0.43532,                 1.0116,               4.39e-05,               4.39e-05,               4.39e-05
                     88,                 0.7639,                0.45608,                 1.0548,                0.91269,                      1,                  0.995,                0.84695,                0.66626,                0.43541,                 1.0093,              4.324e-05,              4.324e-05,              4.324e-05
                     89,                0.74551,                0.45891,                 1.0289,                0.91237,                      1,                  0.995,                0.84695,                0.66524,                0.43584,                 1.0089,              4.258e-05,              4.258e-05,              4.258e-05
                     90,                0.73537,                0.44967,                 1.0201,                0.91266,                      1,                  0.995,                 0.8445,                0.66409,                0.43396,                 1.0087,              4.192e-05,              4.192e-05,              4.192e-05
                     91,                0.71303,                0.42553,                 1.0137,                0.91571,                      1,                  0.995,                0.85347,                0.66452,                0.43981,                 1.0082,              4.126e-05,              4.126e-05,              4.126e-05
                     92,                0.75144,                0.45116,                 1.0466,                0.91135,                      1,                  0.995,                 0.8398,                0.66069,                0.43339,                 1.0048,               4.06e-05,               4.06e-05,               4.06e-05
                     93,                0.73748,                0.44879,                 1.0286,                0.90937,                      1,                  0.995,                0.83413,                 0.6612,                0.43742,                 1.0043,              3.994e-05,              3.994e-05,              3.994e-05
                     94,                0.69995,                0.43138,                 1.0158,                0.91251,                      1,                  0.995,                 0.8398,                0.66015,                0.43668,                 1.0048,              3.928e-05,              3.928e-05,              3.928e-05
                     95,                0.74983,                0.45519,                 1.0314,                0.91197,                      1,                  0.995,                 0.8398,                0.66208,                0.44287,                 1.0055,              3.862e-05,              3.862e-05,              3.862e-05
                     96,                0.72362,                0.44358,                 1.0318,                0.91401,                      1,                  0.995,                 0.8313,                0.65924,                 0.4427,                 1.0049,              3.796e-05,              3.796e-05,              3.796e-05
                     97,                0.68991,                0.41066,                0.97029,                0.91425,                      1,                  0.995,                0.83297,                0.66159,                0.43515,                 1.0036,               3.73e-05,               3.73e-05,               3.73e-05
                     98,                0.71819,                0.42876,                 1.0052,                0.91789,                      1,                  0.995,                0.83759,                0.66156,                 0.4334,                 1.0043,              3.664e-05,              3.664e-05,              3.664e-05
                     99,                0.73831,                0.43096,                  1.044,                0.91867,                      1,                  0.995,                0.83036,                0.66174,                0.43719,                 1.0033,              3.598e-05,              3.598e-05,              3.598e-05
                    100,                0.73613,                0.43698,                 1.0401,                0.92357,                      1,                  0.995,                0.83496,                0.65722,                0.44106,                 1.0039,              3.532e-05,              3.532e-05,              3.532e-05
                    101,                0.71741,                0.42526,                  1.015,                0.92308,                      1,                  0.995,                0.83496,                0.65865,                0.44161,                 1.0043,              3.466e-05,              3.466e-05,              3.466e-05
                    102,                0.71712,                0.41652,                 1.0066,                0.92547,                      1,                  0.995,                0.83496,                0.65938,                0.43468,                 1.0038,                3.4e-05,                3.4e-05,                3.4e-05
                    103,                0.72384,                0.40531,                 1.0085,                0.92696,                      1,                  0.995,                0.83496,                0.65925,                0.43541,                 1.0045,              3.334e-05,              3.334e-05,              3.334e-05
                    104,                0.72929,                0.42956,                 1.0243,                0.92697,                      1,                  0.995,                0.83497,                0.65922,                0.42458,                 1.0059,              3.268e-05,              3.268e-05,              3.268e-05
                    105,                 0.7122,                0.40315,                0.99295,                0.92833,                      1,                  0.995,                0.83497,                0.66098,                0.42928,                 1.0056,              3.202e-05,              3.202e-05,              3.202e-05
                    106,                0.69442,                0.39962,                0.99389,                0.92815,                      1,                  0.995,                0.83497,                0.66116,                0.42834,                 1.0061,              3.136e-05,              3.136e-05,              3.136e-05
                    107,                0.70721,                0.42047,                 1.0136,                0.92774,                      1,                  0.995,                0.83497,                0.65657,                0.42071,                 1.0052,               3.07e-05,               3.07e-05,               3.07e-05
                    108,                 0.7235,                0.42216,                 1.0012,                0.92824,                      1,                  0.995,                0.83131,                 0.6554,                0.42207,                 1.0049,              3.004e-05,              3.004e-05,              3.004e-05
                    109,                0.73314,                0.43906,                 1.0351,                0.92834,                      1,                  0.995,                 0.8313,                 0.6534,                0.42321,                 1.0057,              2.938e-05,              2.938e-05,              2.938e-05
                    110,                0.69756,                0.42904,                 1.0316,                0.92842,                      1,                  0.995,                0.83497,                0.65209,                0.42574,                 1.0043,              2.872e-05,              2.872e-05,              2.872e-05
                    111,                0.67514,                0.40391,                0.98924,                0.92788,                      1,                  0.995,                0.83497,                0.65234,                0.42306,                 1.0065,              2.806e-05,              2.806e-05,              2.806e-05
                    112,                0.72161,                0.41753,                 1.0083,                0.92745,                      1,                  0.995,                0.83497,                0.65337,                 0.4205,                 1.0057,               2.74e-05,               2.74e-05,               2.74e-05
                    113,                 0.7014,                0.40562,                 1.0216,                 0.9306,                      1,                  0.995,                0.83497,                0.65301,                 0.4248,                 1.0061,              2.674e-05,              2.674e-05,              2.674e-05
                    114,                0.70092,                0.41101,                 1.0304,                0.92942,                      1,                  0.995,                  0.837,                 0.6502,                0.42046,                 1.0063,              2.608e-05,              2.608e-05,              2.608e-05
                    115,                0.69098,                0.41742,                 1.0025,                0.93121,                      1,                  0.995,                0.83497,                0.64794,                0.42139,                 1.0063,              2.542e-05,              2.542e-05,              2.542e-05
                    116,                0.73068,                0.40203,                0.98872,                0.93414,                      1,                  0.995,                0.83701,                0.64416,                0.41586,                 1.0034,              2.476e-05,              2.476e-05,              2.476e-05
                    117,                0.68657,                0.39422,                0.98512,                0.93374,                      1,                  0.995,                0.83647,                0.64645,                0.42353,                 1.0036,               2.41e-05,               2.41e-05,               2.41e-05
                    118,                 0.7384,                0.42462,                 1.0406,                0.93035,                      1,                  0.995,                0.83647,                0.64576,                0.41957,                  1.003,              2.344e-05,              2.344e-05,              2.344e-05
                    119,                0.69603,                0.40274,                 1.0201,                0.93042,                      1,                  0.995,                0.83647,                0.64849,                0.42224,                 1.0043,              2.278e-05,              2.278e-05,              2.278e-05
                    120,                 0.6813,                0.39704,                0.96455,                0.92999,                      1,                  0.995,                0.84014,                0.64643,                0.41936,                 1.0028,              2.212e-05,              2.212e-05,              2.212e-05
                    121,                0.71301,                0.41253,                 1.0164,                0.92976,                      1,                  0.995,                 0.8445,                0.64559,                0.42026,                 1.0035,              2.146e-05,              2.146e-05,              2.146e-05
